"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Hundred,6.31,7.32,-1.0100002,7399,4450,2648,Apr 2016 - Jun 2016,Nov 2012 - Oct 2018
Yahabe,5.14,6.16,-1.02,11773,16930,580,Aug 2012 - Aug 2012,Aug 2012 - Aug 2012
Kyochuu Rettou,4.39,5.41,-1.02,12607,17775,6842,Jun 2019 - Jun 2019,Oct 2014 - Mar 2019
Teizokurei Daydream,6.11,7.13,-1.02,8320,6609,2878,Jun 2004 - Dec 2004,Jun 2000 - Sep 2007
Majuu Sensen,5.72,6.74,-1.02,10053,12019,372,Oct 1990 - Oct 1990,Aug 1975 - Sep 1976
Asari-chan,6.21,7.23,-1.02,7820,5429,401,Jan 1982 - Feb 1983,Jul 1978 - Feb 2014
Date A Live,7.16,8.18,-1.0200005,3253,440,17440,Apr 2013 - Jun 2013,Mar 2011 - Mar 2020
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,8.89,-1.0300002,814,20,79255,Jul 2017 - Sep 2017,May 2015 - Sep 2019
Tetsujin 28-gou,6.46,7.5,-1.04,6606,2855,608,Oct 1963 - May 1965,Jul 1956 - May 1966
Microid S,6.15,7.19,-1.04,8141,5953,220,Apr 1973 - Oct 1973,Mar 1973 - Aug 1973
Sankaku Mado no Sotogawa wa Yoru,6.72,7.76,-1.0400004,5274,1398,3380,Oct 2021 - Dec 2021,Mar 2013 - Dec 2020
Toaru Majutsu no Index,7.36,8.41,-1.0499997,2257,198,28998,Oct 2008 - Mar 2009,Apr 2004 - Oct 2010
Chinpui,6.51,7.56,-1.0499997,6328,2425,275,Feb 1989 - Apr 1991,Jun 1985 - Feb 1991
Sweet Spot,5.18,6.23,-1.0500002,11692,16658,350,Apr 1991 - Apr 1991,Oct 2013 - Oct 2013
Cyclops Shoujo Saipuu,5.73,6.78,-1.0500002,9989,11573,6243,Mar 2013 - May 2013,Nov 2010 - Sep 2014
Pyuu to Fuku! Jaguar,6.47,7.52,-1.0500002,6576,2676,2208,Nov 2007 - Jan 2008,Aug 2000 - Aug 2010
Golgo 13,6.77,7.83,-1.06,5017,1160,5633,May 1983 - May 1983,Nov 1968 - Dec 2023
Eko Eko Azarak,5.67,6.73,-1.06,10222,12205,937,Jan 2007 - Jan 2007,Aug 1975 - Mar 1979
Blue Giant,7.37,8.44,-1.0699997,2199,176,16307,Feb 2023 - Feb 2023,May 2013 - Aug 2016
Aku no Hana,7.14,8.21,-1.0700002,3342,398,148343,Apr 2013 - Jun 2013,Sep 2009 - May 2014
Kingdom,7.93,9.0,-1.0700002,675,11,159673,Jun 2012 - Feb 2013,Jan 2006 - Dec 2023
Kimi no Iru Machi,6.83,7.91,-1.0799999,4747,937,69489,Jul 2013 - Sep 2013,May 2008 - Feb 2014
