"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Princess Tutu,8.13,6.06,2.0700002,431,17190,3321,Aug 2002 - May 2003,Aug 2002 - May 2003
Ginga Eiyuu Densetsu,9.02,7.08,1.9400005,12,7426,1777,Jan 1988 - Mar 1997,Oct 2015 - Dec 2023
Dennou Coil,8.04,6.26,1.7799997,537,16567,823,May 2007 - Dec 2007,Nov 2007 - Nov 2007
Ginga Eiyuu Densetsu,9.02,7.27,1.7500005,12,4993,1333,Jan 1988 - Mar 1997,Aug 1986 - Feb 2000
Shinsekai yori,8.28,6.62,1.6599998,262,13632,10276,Sep 2012 - Mar 2013,May 2012 - Jun 2014
Cowboy Bebop,8.75,7.15,1.5999999,41,6359,16259,Apr 1998 - Apr 1999,Apr 1999 - Apr 2000
Naruto,7.99,6.49,1.5,603,14976,16298,Oct 2002 - Feb 2007,Aug 1997 - Aug 1997
Tenkuu no Escaflowne,7.67,6.22,1.4500003,1201,16704,2329,Apr 1996 - Sep 1996,Dec 1994 - Jan 1998
Panty & Stocking with Garterbelt,7.72,6.31,1.4099998,1093,16321,1180,Oct 2010 - Dec 2010,May 2011 - May 2011
Black Clover,8.14,6.79,1.3500004,418,11438,2108,Oct 2017 - Mar 2021,May 2014 - May 2014
Code Geass: Hangyaku no Lelouch R2,8.91,7.59,1.3199997,19,2254,1024,Apr 2008 - Sep 2008,May 2008 - Feb 2009
Usagi Drop,8.36,7.1,1.2599998,197,6994,45498,Jul 2011 - Sep 2011,Oct 2005 - Dec 2011
Sora yori mo Tooi Basho,8.52,7.29,1.2300005,117,4715,3609,Jan 2018 - Mar 2018,Dec 2017 - Feb 2019
UFO Robo Grendizer,7.56,6.34,1.2199998,1530,16124,1213,Oct 1975 - Feb 1977,Oct 1975 - May 1976
Gankutsuou,8.14,6.93,1.2100005,421,9445,2348,Oct 2004 - Mar 2005,Mar 2005 - Mar 2008
Kill la Kill,8.04,6.83,1.21,542,10942,14790,Oct 2013 - Mar 2014,Oct 2013 - Feb 2015
Bleach,7.92,6.71,1.21,689,12519,8913,Oct 2004 - Mar 2012,Dec 2000 - Dec 2000
Tenshi no Tamago,7.71,6.52,1.19,1132,14657,485,Dec 1985 - Dec 1985,Nov 2005 - Dec 2005
Koukaku Kidoutai: Stand Alone Complex,8.42,7.29,1.1300001,161,4699,2540,Oct 2002 - Oct 2003,Dec 2009 - Dec 2012
Samurai Champloo,8.51,7.41,1.1000004,123,3541,13652,May 2004 - Mar 2005,Jan 2004 - Sep 2004
Panty & Stocking with Garterbelt,7.72,6.62,1.0999999,1093,13611,4057,Oct 2010 - Dec 2010,Aug 2010 - Jun 2011
Code Geass: Hangyaku no Lelouch,8.7,7.61,1.0899997,50,2142,18711,Oct 2006 - Jul 2007,Aug 2006 - Feb 2010
Mawaru Penguindrum,7.94,6.86,1.0799999,667,10421,1446,Jul 2011 - Dec 2011,May 2013 - Jan 2017
Eiga Daisuki Pompo-san,8.15,7.08,1.0699997,403,7369,661,Jun 2021 - Jun 2021,Aug 2017 - Sep 2018
Kakushigoto,7.99,6.95,1.04,610,9212,2968,Apr 2020 - Jun 2020,May 2018 - Dec 2023
Uchuu Patrol Luluco,7.54,6.51,1.0299997,1594,14786,774,Apr 2016 - Jun 2016,Apr 2016 - Jun 2016
Darker than Black: Kuro no Keiyakusha,8.06,7.04,1.0200005,512,7932,16724,Apr 2007 - Sep 2007,Feb 2007 - Nov 2007
Steins;Gate,9.07,8.05,1.0199995,2,650,25005,Apr 2011 - Sep 2011,Sep 2009 - Jul 2013
Haikyuu!!,8.44,7.42,1.0199995,151,3417,11388,Apr 2014 - Sep 2014,Apr 2011 - Apr 2011
Toki wo Kakeru Shoujo,8.11,7.1,1.0099998,447,7001,3198,Jul 2006 - Jul 2006,May 2003 - May 2004
RahXephon,7.39,6.39,1.0,2124,15806,2037,Jan 2002 - Sep 2002,Sep 2001 - Nov 2002
Golden Boy,8.04,7.06,0.98,539,7673,19129,Oct 1995 - Jun 1996,Jun 1993 - Jan 1998
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.07,7.09,0.97999954,502,7264,822,Sep 2005 - Sep 2005,Dec 2013 - Sep 2016
Mugen no Ryvius,7.43,6.47,0.96000004,1986,15182,438,Oct 1999 - Mar 2000,Dec 1999 - Sep 2000
Simoun,7.44,6.48,0.96000004,1942,15063,1169,Apr 2006 - Sep 2006,Jan 2006 - Jul 2006
Bakuman.,8.19,7.24,0.9499998,362,5351,893,Oct 2010 - Apr 2011,Sep 2015 - Sep 2015
Dororo,8.24,7.29,0.9499998,297,4745,15412,Jan 2019 - Jun 2019,Aug 1967 - Jul 1968
Samurai 7,7.44,6.5,0.94000006,1940,14869,1341,Jun 2004 - Dec 2004,Aug 2006 - Mar 2007
Little Witch Academia,7.8,6.87,0.9300003,923,10297,3688,Mar 2013 - Mar 2013,Aug 2013 - Nov 2015
Seirei no Moribito,8.13,7.2,0.9300003,432,5755,2012,Apr 2007 - Sep 2007,Mar 2007 - Jul 2008
UFO Robo Grendizer,7.56,6.64,0.9200001,1530,13389,435,Oct 1975 - Feb 1977,Oct 1975 - Mar 1977
Koutetsu Jeeg,7.05,6.14,0.9100003,3785,17003,769,Oct 1975 - Aug 1976,Sep 1975 - Jul 1976
Coquelicot-zaka kara,7.79,6.88,0.90999985,938,10232,503,Jul 2011 - Jul 2011,Dec 1979 - Jul 1980
Lycoris Recoil,8.2,7.29,0.90999985,337,4814,2565,Jul 2022 - Sep 2022,Sep 2022 - Dec 2023
Un-Go: Inga-ron,7.54,6.63,0.90999985,1595,13490,775,Nov 2011 - Nov 2011,Sep 2011 - Mar 2012
Shoujo Kakumei Utena,8.2,7.31,0.88999987,341,4549,11603,Apr 1997 - Dec 1997,May 1996 - Mar 1998
SKET Dance,8.21,7.32,0.88999987,336,4378,2436,Apr 2011 - Sep 2012,Aug 2006 - Aug 2006
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.4,7.51,0.8899994,175,2716,1698,Feb 2018 - Feb 2018,Apr 2018 - Jul 2019
Juushin Liger,7.1,6.22,0.8800001,3567,16723,323,Mar 1989 - Jan 1990,Mar 1989 - Jan 1990
Tiger & Bunny,7.85,6.97,0.8800001,815,8986,1314,Apr 2011 - Sep 2011,Aug 2011 - Aug 2011
Shin Kidou Senki Gundam Wing,7.69,6.81,0.8800001,1166,11219,2255,Apr 1995 - Mar 1996,Apr 1995 - Apr 1996
Shoujo Kakumei Utena,8.2,7.32,0.87999964,341,4386,771,Apr 1997 - Dec 1997,Nov 1997 - Jan 1998
Great Pretender,8.23,7.35,0.87999964,310,4095,2592,Jul 2020 - Dec 2020,Jun 2020 - Aug 2020
Mimi wo Sumaseba,8.22,7.35,0.87000036,322,4065,2322,Jul 1995 - Jul 1995,Jul 1989 - Oct 1989
Kekkai Sensen,7.6,6.73,0.8699999,1383,12194,1528,Apr 2015 - Oct 2015,May 2008 - May 2008
Romantic Killer,8.06,7.2,0.8600006,524,5801,4953,Oct 2022 - Oct 2022,Jul 2019 - Jun 2020
Baccano!,8.37,7.51,0.85999966,189,2737,3760,Jul 2007 - Nov 2007,Oct 2015 - Jan 2017
Uchuu Senkan Yamato,7.59,6.74,0.8500004,1423,12124,1168,Oct 1974 - Mar 1975,Oct 1974 - Dec 1979
Metropolis,7.52,6.67,0.8499999,1668,12967,3028,May 2001 - May 2001,Sep 1949 - Sep 1949
Isekai no Seikishi Monogatari,7.75,6.9,0.8499999,1037,9956,1390,May 2009 - May 2010,Jun 2009 - May 2010
Isekai Nonbiri Nouka,7.58,6.73,0.8499999,1450,12245,22948,Jan 2023 - Mar 2023,Oct 2017 - Dec 2023
Heat Guy J,7.12,6.29,0.8299999,3487,16394,623,Oct 2002 - Mar 2003,Aug 2002 - Feb 2003
Ashita no Nadja,7.59,6.77,0.8200002,1402,11686,1050,Feb 2003 - Jan 2004,Feb 2003 - Dec 2003
Carole & Tuesday,7.87,7.05,0.8199997,793,7798,1723,Apr 2019 - Oct 2019,May 2019 - Jul 2020
Doraemon,7.37,6.56,0.80999994,2203,14270,1653,Apr 1973 - Sep 1973,Dec 1995 - Dec 1995
Kidou Senshi Gundam 00,8.11,7.3,0.80999947,441,4606,893,Oct 2007 - Mar 2008,Oct 2007 - Sep 2008
Phi Brain: Kami no Puzzle,7.17,6.37,0.8000002,3229,15968,802,Oct 2011 - Apr 2012,Nov 2011 - Sep 2012
Tokyo Ghoul,7.79,7.0,0.78999996,935,8536,17242,Jul 2014 - Sep 2014,Mar 2011 - Mar 2011
FLCL,8.03,7.25,0.77999973,554,5139,24716,Apr 2000 - Mar 2001,Dec 1999 - Mar 2001
Fate/stay night: Unlimited Blade Works,8.19,7.41,0.77999973,364,3497,935,Oct 2014 - Dec 2014,Dec 2021 - Dec 2023
Saber Marionette J,7.37,6.6,0.77,2228,13758,1774,Oct 1996 - Mar 1997,Sep 1996 - Oct 1999
Kakushigoto,7.99,7.22,0.77,610,5608,619,Apr 2020 - Jun 2020,Aug 2015 - May 2016
Kakumeiki Valvrave,7.13,6.36,0.77,3416,16026,627,Apr 2013 - Jun 2013,Jun 2013 - Dec 2013
Mononoke,8.43,7.67,0.7600002,157,1800,7614,Jul 2007 - Sep 2007,Aug 2007 - Aug 2008
Kidou Senshi Gundam 00,8.11,7.35,0.75999975,441,4070,627,Oct 2007 - Mar 2008,Jan 2008 - Oct 2008
Kino no Tabi: The Beautiful World,8.29,7.54,0.75,257,2561,1688,Apr 2003 - Jul 2003,May 2017 - Dec 2019
So Ra No Wo To,7.54,6.8,0.7399998,1590,11288,1279,Jan 2010 - Mar 2010,Nov 2009 - Jun 2011
Code Geass: Hangyaku no Lelouch,8.7,7.96,0.7399998,50,814,3991,Oct 2006 - Jul 2007,Apr 2007 - Mar 2008
Bakemono no Ko,8.25,7.52,0.73,291,2697,2908,Jul 2015 - Jul 2015,Apr 2015 - Nov 2016
Kiznaiver,7.38,6.66,0.72000027,2166,13073,3749,Apr 2016 - Jun 2016,Mar 2016 - Feb 2017
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,7.14,0.72000027,814,6564,18183,Jul 2017 - Sep 2017,Jan 2016 - Dec 2023
Eve no Jikan,8.01,7.3,0.71000004,574,4677,2208,Aug 2008 - Sep 2009,Feb 2010 - Mar 2012
Zombieland Saga,7.51,6.81,0.7000003,1695,11155,1555,Oct 2018 - Dec 2018,Oct 2018 - Dec 2023
Space☆Dandy,7.88,7.18,0.7000003,780,6089,1989,Jan 2014 - Mar 2014,Dec 2013 - Sep 2014
Tengen Toppa Gurren Lagann,8.63,7.95,0.6800003,73,833,13197,Apr 2007 - Sep 2007,Apr 2007 - May 2013
"86",8.28,7.6,0.6799998,264,2187,6767,Apr 2021 - Jun 2021,Feb 2018 - Dec 2023
Abenobashi Mahou☆Shoutengai,7.23,6.56,0.6700001,2870,14290,2014,Apr 2002 - Jun 2002,Jul 2001 - Jun 2002
Psycho-Pass,8.34,7.67,0.6700001,213,1813,2145,Oct 2012 - Mar 2013,Feb 2013 - Apr 2013
Ojamajo Doremi,7.3,6.65,0.6500001,2526,13173,638,Feb 1999 - Jan 2000,Feb 1999 - Oct 2000
Wolf's Rain,7.8,7.15,0.6500001,931,6360,14025,Jan 2003 - Jul 2003,Feb 2003 - Jan 2004
"Kimi to, Nami ni Noretara",7.61,6.97,0.64000034,1375,8871,1151,Jun 2019 - Jun 2019,Feb 2019 - May 2019
"Kumo no Mukou, Yakusoku no Basho",7.45,6.81,0.63999987,1874,11243,2705,Nov 2004 - Nov 2004,Feb 2006 - Aug 2006
Great Mazinger,7.05,6.42,0.6300001,3774,15578,237,Sep 1974 - Sep 1975,Sep 1974 - Sep 1975
Koukaku Kidoutai: Stand Alone Complex,8.42,7.79,0.6300001,161,1292,2441,Oct 2002 - Oct 2003,Jan 2004 - Feb 2005
Tenkuu no Shiro Laputa,8.26,7.63,0.6300001,278,2028,778,Aug 1986 - Aug 1986,May 1985 - Jul 1986
Hanasaku Iroha,7.91,7.28,0.62999964,712,4865,2818,Apr 2011 - Sep 2011,Nov 2010 - Sep 2012
Summer Wars,8.03,7.4,0.62999964,546,3650,1238,Aug 2009 - Aug 2009,Jul 2009 - Jul 2009
Shounen Onmyouji,7.55,6.93,0.62000036,1578,9457,617,Oct 2006 - Mar 2007,Aug 2005 - Dec 2023
"Benriya Saitou-san, Isekai ni Iku",7.47,6.85,0.6199999,1805,10622,6317,Jan 2023 - Mar 2023,Oct 2018 - Dec 2023
Eyeshield 21,7.91,7.29,0.6199999,710,4776,1441,Apr 2005 - Mar 2008,Mar 2002 - Mar 2002
Seirei Gensouki,7.06,6.44,0.6199999,3729,15396,2134,Jul 2021 - Sep 2021,Sep 2016 - Dec 2016
Inazuma Eleven,7.69,7.07,0.6199999,1182,7455,2835,Oct 2008 - Apr 2011,May 2008 - Sep 2011
Gate Keepers,6.92,6.3,0.6199999,4337,16341,615,Apr 2000 - Sep 2000,Dec 1999 - Oct 2001
"Kanojo, Okarishimasu",7.06,6.45,0.61000013,3763,15390,124450,Jul 2020 - Sep 2020,Jul 2017 - Dec 2023
Mazinger Z,7.26,6.65,0.61000013,2755,13182,4155,Dec 1972 - Sep 1974,Oct 1972 - Aug 1973
Bakemono no Ko,8.25,7.64,0.61000013,291,1973,1335,Jul 2015 - Jul 2015,Jul 2015 - Jul 2015
Phantom: Requiem for the Phantom,7.94,7.33,0.61000013,672,4290,2052,Apr 2009 - Sep 2009,Dec 2008 - Jan 2010
Ousama Ranking,8.54,7.94,0.5999999,105,860,7815,Oct 2021 - Mar 2022,Feb 2019 - Dec 2023
IDOLiSH7,7.71,7.11,0.5999999,1118,6887,1092,Jan 2018 - May 2018,Jul 2015 - Jul 2019
Kidou Butouden G Gundam,7.57,6.98,0.59000015,1462,8749,712,Apr 1994 - Mar 1995,Apr 1994 - Apr 1995
Kotarou wa Hitorigurashi,8.22,7.63,0.59000015,317,2020,1721,Mar 2022 - Mar 2022,Mar 2015 - Dec 2023
s.CRY.ed,7.36,6.78,0.5799999,2248,11502,2106,Jul 2001 - Dec 2001,May 2001 - Apr 2002
Mai-HiME,7.42,6.85,0.5700002,1996,10562,7034,Oct 2004 - Apr 2005,Nov 2004 - Jul 2005
Great Mazinger,7.05,6.48,0.5700002,3774,15082,1092,Sep 1974 - Sep 1975,Oct 1974 - Oct 1975
Cross Ange: Tenshi to Ryuu no Rondo,7.39,6.82,0.5699997,2138,11110,1364,Oct 2014 - Mar 2015,Aug 2014 - Jun 2015
Hakata Tonkotsu Ramens,7.37,6.81,0.55999994,2208,11190,1007,Jan 2018 - Mar 2018,Jun 2016 - May 2017
Gyakusatsu Kikan,7.12,6.56,0.55999994,3485,14219,1248,Feb 2017 - Feb 2017,Apr 2015 - Sep 2017
Steins;Gate,9.07,8.51,0.55999947,2,132,12088,Apr 2011 - Sep 2011,Jun 2011 - May 2012
Vandread,7.17,6.62,0.5500002,3237,13573,1874,Oct 2000 - Dec 2000,Jan 2000 - Oct 2001
Log Horizon,7.92,7.37,0.5500002,697,3866,5015,Oct 2013 - Mar 2014,May 2012 - Jun 2013
Tenki no Ko,8.29,7.74,0.5500002,256,1466,7079,Jul 2019 - Jul 2019,Jul 2019 - Aug 2020
Utawarerumono,7.62,7.07,0.5499997,1353,7504,1368,Apr 2006 - Sep 2006,Sep 2005 - Nov 2006
Tiger & Bunny,7.85,7.3,0.5499997,815,4681,3009,Apr 2011 - Sep 2011,Sep 2011 - Dec 2014
R.O.D: Read or Die,7.62,7.07,0.5499997,1348,7497,4578,May 2001 - Feb 2002,Dec 1999 - May 2002
Kowarekake no Orgel,7.31,6.76,0.5499997,2500,11831,1042,Dec 2009 - Dec 2009,Jun 2011 - Dec 2011
Koe no Katachi,8.94,8.39,0.54999924,16,209,59842,Sep 2016 - Sep 2016,Jan 2011 - Jan 2011
Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,7.2,0.53999996,1055,5744,1379,Jan 1997 - Jul 1997,Mar 1998 - Jul 1998
Mahou Shoujo Lyrical Nanoha A's,7.96,7.42,0.53999996,636,3443,1978,Oct 2005 - Dec 2005,Jun 2005 - Jan 2006
Isekai Nonbiri Nouka,7.58,7.05,0.52999973,1450,7791,4214,Jan 2023 - Mar 2023,Oct 2017 - Dec 2023
El Hazard: The Magnificent World,7.26,6.74,0.52000046,2739,12050,1040,May 1995 - Jan 1996,Mar 1996 - Dec 1997
Bocchi the Rock!,8.84,8.32,0.52000046,29,276,13865,Oct 2022 - Dec 2022,Dec 2017 - Dec 2023
Kubo-san wa Mob wo Yurusanai,7.59,7.07,0.52,1412,7495,492,Jan 2023 - Jun 2023,Mar 2019 - Mar 2019
Zetman,6.84,6.32,0.52,4713,16255,2818,Apr 2012 - Jun 2012,Jul 1989 - Dec 1994
Heion Sedai no Idaten-tachi,7.64,7.12,0.52,1286,6847,5313,Jul 2021 - Sep 2021,Aug 2018 - Dec 2023
Yu☆Gi☆Oh! 5D's,7.44,6.92,0.52,1952,9646,4214,Apr 2008 - Mar 2011,Aug 2009 - Jan 2015
Detective Conan,8.17,7.65,0.52,379,1905,1530,Jan 1996 - Dec 2023,May 2005 - Dec 2023
Jigoku Shoujo,7.61,7.09,0.52,1371,7210,8837,Oct 2005 - Apr 2006,Oct 2005 - Aug 2008
Fate/Zero,8.28,7.76,0.5199995,265,1393,7365,Oct 2011 - Dec 2011,Dec 2010 - Jun 2017
Shinsekai yori,8.28,7.77,0.50999975,262,1378,1041,Sep 2012 - Mar 2013,Jan 2008 - Jan 2008
Natsume Yuujinchou,8.31,7.81,0.5000005,239,1210,1748,Jul 2008 - Sep 2008,Jan 2013 - Dec 2023
Vivy: Fluorite Eye's Song,8.41,7.91,0.5,168,920,2456,Apr 2021 - Jun 2021,Apr 2021 - Dec 2023
Hal,7.4,6.9,0.5,2101,9957,1956,Jun 2013 - Jun 2013,Mar 2008 - Oct 2009
Paripi Koumei,8.17,7.67,0.5,375,1823,3777,Apr 2022 - Jun 2022,Dec 2019 - Dec 2023
Trigun,8.22,7.73,0.49000025,315,1525,35099,Apr 1998 - Sep 1998,Apr 1995 - Jan 1997
Fresh Precure!,7.39,6.9,0.48999977,2139,9959,386,Feb 2009 - Jan 2010,Feb 2009 - Dec 2009
Bishounen Tanteidan,7.11,6.64,0.47000027,3496,13304,1292,Apr 2021 - Jun 2021,Apr 2016 - Dec 2023
Afro Samurai,7.36,6.89,0.47000027,2266,10051,6598,May 2007 - May 2007,Sep 2008 - Feb 2009
Concrete Revolutio: Choujin Gensou,6.66,6.19,0.4699998,5538,16818,667,Oct 2015 - Dec 2015,Aug 2015 - Jun 2016
Kimi no Na wa.,8.85,8.39,0.46000004,27,212,83999,Aug 2016 - Aug 2016,May 2016 - Jan 2017
Uchuu no Stellvia,7.36,6.9,0.46000004,2258,9860,381,Apr 2003 - Sep 2003,Apr 2003 - Jul 2004
Poyopoyo Kansatsu Nikki,7.64,7.18,0.46000004,1292,6053,915,Jan 2012 - Dec 2012,Dec 2003 - Feb 2016
Hai to Gensou no Grimgar,7.65,7.2,0.4500003,1259,5837,7287,Jan 2016 - Mar 2016,Apr 2015 - Jun 2016
Kidou Senshi Gundam,7.76,7.31,0.4500003,1007,4567,649,Apr 1979 - Jan 1980,May 1979 - Feb 1982
Asatte no Houkou.,7.03,6.58,0.4500003,3890,13977,1049,Oct 2006 - Dec 2006,Sep 2003 - Jul 2007
Ookami Kodomo no Ame to Yuki,8.58,8.13,0.4499998,89,517,1987,Jul 2012 - Jul 2012,Jun 2012 - Jun 2012
Medarot,7.08,6.63,0.4499998,3651,13430,567,Jul 1999 - Jun 2000,May 1997 - Mar 1999
Little Witch Academia,7.8,7.36,0.44000006,923,3975,6254,Mar 2013 - Mar 2013,Dec 2016 - Aug 2018
Riding Bean,7.06,6.62,0.44000006,3724,13624,811,Feb 1989 - Feb 1989,Sep 1988 - Feb 1989
Hana to Alice: Satsujin Jiken,7.25,6.81,0.44000006,2799,11124,2192,Feb 2015 - Feb 2015,Feb 2015 - Jul 2015
Kidou Senshi Gundam Unicorn,8.1,7.67,0.4300003,461,1801,926,Mar 2010 - Jun 2014,Dec 2006 - Mar 2016
Kidou Senshi Gundam: Tekketsu no Orphans,8.05,7.62,0.4300003,527,2040,874,Oct 2015 - Mar 2016,Oct 2015 - Oct 2016
Robotics;Notes,7.32,6.89,0.4300003,2456,10110,1645,Oct 2012 - Mar 2013,Jan 2012 - Jul 2014
Kino no Tabi: The Beautiful World,8.29,7.86,0.42999983,257,1049,3838,Apr 2003 - Jul 2003,Mar 2017 - Aug 2020
Turn A Gundam,7.75,7.32,0.42999983,1025,4425,528,Apr 1999 - Apr 2000,Jun 1999 - Mar 2002
Aldnoah.Zero,7.39,6.96,0.42999983,2134,9014,3528,Jul 2014 - Sep 2014,Aug 2014 - Jul 2015
Nanatsu no Maken ga Shihai suru,7.02,6.6,0.42000008,3939,13798,2672,Jul 2023 - Dec 2023,May 2019 - Dec 2023
Osomatsu-san,7.94,7.52,0.42000008,671,2632,1714,Oct 2015 - Mar 2016,Jan 2016 - Dec 2023
Ginga Eiyuu Densetsu,9.02,8.6,0.42000008,12,88,9356,Jan 1988 - Mar 1997,Nov 1982 - Nov 1987
Etotama,6.8,6.39,0.41000032,4870,15804,719,Apr 2015 - Jun 2015,Nov 2013 - Nov 2015
Dragon Ball: Episode of Bardock,7.2,6.79,0.40999985,3031,11464,6338,Dec 2011 - Dec 2011,Jun 2011 - Aug 2011
Gosick,8.05,7.65,0.4000001,535,1895,5353,Jan 2011 - Jul 2011,Dec 2007 - Apr 2012
Udon no Kuni no Kiniro Kemari,7.75,7.35,0.4000001,1026,4119,2228,Oct 2016 - Dec 2016,Jun 2012 - Feb 2019
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,8.18,0.39999962,88,430,106896,Oct 2018 - Jul 2019,Nov 1995 - Mar 1999
Futari wa Precure,7.08,6.69,0.38999987,3639,12754,572,Feb 2004 - Jan 2005,Mar 2004 - Dec 2004
Tamako Love Story,7.92,7.53,0.38999987,700,2622,956,Apr 2014 - Apr 2014,Jul 2014 - Jul 2014
Kokoro ga Sakebitagatterunda.,7.82,7.44,0.3800001,883,3315,2362,Sep 2015 - Sep 2015,Jul 2015 - Jul 2016
Hello World,7.5,7.12,0.3800001,1717,6852,2750,Sep 2019 - Sep 2019,Jul 2019 - Mar 2020
Meikyuu Black Company,7.26,6.88,0.3800001,2756,10199,7096,Jul 2021 - Sep 2021,Dec 2016 - Dec 2023
Sengoku Basara,7.33,6.95,0.3800001,2392,9201,1023,Apr 2009 - Jun 2009,Jul 2009 - Feb 2011
Nagi no Asu kara,7.97,7.59,0.37999964,628,2255,3748,Oct 2013 - Apr 2014,Apr 2013 - Mar 2016
Shangri-La,7.05,6.68,0.37000036,3800,12865,804,Apr 2009 - Sep 2009,Mar 2008 - Dec 2009
The Big O,7.53,7.16,0.37000036,1639,6315,1539,Oct 1999 - Mar 2003,Jun 1999 - Sep 2001
Ore wo Suki nano wa Omae dake ka yo,7.31,6.94,0.3699999,2507,9297,13703,Oct 2019 - Dec 2019,Feb 2017 - Aug 2020
Summer Wars,8.03,7.66,0.3699999,546,1877,8201,Aug 2009 - Aug 2009,Jul 2009 - May 2010
BNA,7.35,6.98,0.3699999,2283,8856,1297,Apr 2020 - Jun 2020,May 2020 - Sep 2022
Hanbun no Tsuki ga Noboru Sora,7.47,7.1,0.3699999,1813,7032,2020,Jan 2006 - Feb 2006,Aug 2005 - Nov 2006
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,7.95,0.3600006,233,823,2657,Apr 2011 - Jun 2011,Mar 2011 - Jul 2011
K: Return of Kings,7.56,7.2,0.36000013,1509,5777,1237,Oct 2015 - Dec 2015,Oct 2015 - Feb 2017
Burn the Witch,7.11,6.75,0.36000013,3498,11935,20818,Oct 2020 - Oct 2020,Jul 2018 - Jul 2018
Heavy Object,7.25,6.89,0.36000013,2801,10095,2347,Oct 2015 - Mar 2016,Dec 2009 - Feb 2011
Speed Grapher,7.31,6.95,0.36000013,2517,9170,1419,Apr 2005 - Sep 2005,Sep 2005 - Sep 2006
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.54,7.18,0.36000013,1610,6067,6539,Jan 2020 - Mar 2020,May 2018 - Dec 2023
Inazuma Eleven Go,6.98,6.62,0.36000013,4100,13626,987,May 2011 - Apr 2012,Oct 2011 - Mar 2014
Josee to Tora to Sakana-tachi,8.41,8.05,0.35999966,170,655,4762,Dec 2020 - Dec 2020,Jan 2020 - Oct 2020
Yu☆Gi☆Oh! Arc-V,6.7,6.34,0.35999966,5360,16108,902,Apr 2014 - Mar 2017,May 2014 - May 2014
Uta∽Kata,6.73,6.38,0.3499999,5209,15850,1049,Oct 2004 - Dec 2004,Aug 2004 - Feb 2005
Yakitate!! Japan,7.91,7.56,0.3499999,704,2434,12475,Oct 2004 - Mar 2006,Mar 2002 - Jan 2007
Summer Ghost,7.87,7.52,0.3499999,787,2660,1104,Nov 2021 - Nov 2021,Oct 2021 - Jun 2022
Hoshi wo Ou Kodomo,7.52,7.18,0.34000015,1662,6047,1174,May 2011 - May 2011,May 2011 - Jul 2012
Hibike! Euphonium,8.0,7.66,0.34000015,596,1825,1113,Apr 2015 - Jul 2015,Dec 2013 - Jun 2019
Yakusoku no Neverland,8.51,8.17,0.34000015,122,443,296907,Jan 2019 - Mar 2019,Aug 2016 - Jun 2020
B'T X,7.02,6.68,0.34000015,3916,12797,1250,Apr 1996 - Sep 1996,Oct 1994 - Dec 1999
Magical☆Star Kanon 100%,6.76,6.43,0.3300004,5048,15532,2323,Jun 2013 - Jun 2013,Mar 2013 - Mar 2013
Mahou Shoujo Madoka★Magica,8.36,8.03,0.32999992,204,683,3567,Jan 2011 - Apr 2011,Aug 2011 - Aug 2011
Metal Fight Beyblade,6.87,6.54,0.32999992,4556,14451,957,Apr 2009 - Mar 2010,Sep 2008 - Feb 2012
Miracle☆Girls,7.33,7.0,0.32999992,2384,8461,1362,Jan 1993 - Dec 1993,Oct 1990 - Feb 1994
Oruchuban Ebichu,7.37,7.04,0.32999992,2224,7958,809,Aug 1999 - Oct 1999,Jul 1997 - Jan 2008
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7.36,7.03,0.32999992,2249,8117,18956,Oct 2021 - Dec 2021,Jan 2019 - Dec 2023
InuYasha,7.86,7.54,0.32000017,799,2520,1672,Oct 2000 - Sep 2004,Dec 2004 - Dec 2004
Gintama,8.94,8.62,0.3199997,15,75,91669,Apr 2006 - Mar 2010,Dec 2003 - Jun 2019
Kakushigoto,7.99,7.67,0.3199997,610,1783,9007,Apr 2020 - Jun 2020,Dec 2015 - Jul 2020
Grancrest Senki,7.22,6.9,0.3199997,2952,9983,5264,Jan 2018 - Jun 2018,Jun 2016 - Jun 2019
K: Missing Kings,7.64,7.32,0.3199997,1288,4461,1409,Jul 2014 - Jul 2014,Apr 2015 - Aug 2015
Steins;Gate 0,8.53,8.21,0.3199997,111,396,4431,Apr 2018 - Sep 2018,Jul 2017 - Feb 2020
Summertime Render,8.51,8.2,0.31000042,121,405,42117,Apr 2022 - Sep 2022,Oct 2017 - Feb 2021
K,7.43,7.12,0.30999994,1975,6762,803,Oct 2012 - Dec 2012,May 1988 - May 1988
Ryuu no Haisha,7.36,7.05,0.30999994,2247,7790,896,Feb 2017 - Feb 2017,Sep 2017 - Dec 2017
Sabikui Bisco,7.16,6.85,0.30999994,3293,10626,1459,Jan 2022 - Mar 2022,Apr 2019 - Mar 2021
Shichinin no Nana,6.84,6.54,0.3000002,4703,14436,518,Jan 2002 - Jun 2002,Nov 2001 - May 2002
