"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
1809,Higurashi no Naku Koro ni Rei: Oniokoshi-hen,5968,Manga,"2",Nov 2021 - Aug 2022,634,https://myanimelist.net/manga/143633/Higurashi_no_Naku_Koro_ni_Rei__Oniokoshi-hen,https://cdn.myanimelist.net/r/100x140/images/manga/2/262278.jpg?s=f2df8e54b8b2be04e0a733741690c261,7.19,Nov 2021 - Aug 2022
1810,Meisou Kuiki,9321,Manga,"2",Feb 2002 - Nov 2002,1182,https://myanimelist.net/manga/1195/Meisou_Kuiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/157495.jpg?s=23422b139b0a8e2397a3cd9881516ef3,6.94,Feb 2002 - Nov 2002
1811,Bokusatsu Tenshi Dokuro-chan,10097,Light-Novel,"10",Jun 2003 - Oct 2007,1499,https://myanimelist.net/manga/21646/Bokusatsu_Tenshi_Dokuro-chan,https://cdn.myanimelist.net/r/100x140/images/manga/1/189397.jpg?s=7f2ddfb3d0d0d1040a8aac7add9d343f,6.89,Jun 2003 - Oct 2007
1813,Hwaja,3673,Manhwa,"2",Jun 2011 - Feb 2012,3298,https://myanimelist.net/manga/41805/Hwaja,https://cdn.myanimelist.net/r/100x140/images/manga/1/158656.jpg?s=65d8d0069bed41dd0d37df35056ff239,7.39,Jun 2011 - Feb 2012
1814,Motenai Riyuu ga Oosugiru!!!!!,16289,Manga,"1",Apr 2013 - Nov 2013,613,https://myanimelist.net/manga/78799/Motenai_Riyuu_ga_Oosugiru,https://cdn.myanimelist.net/r/100x140/images/manga/2/136313.jpg?s=5ce74ca4b141c772aceb0c751c8d2ec0,6.31,Apr 2013 - Nov 2013
1815,Tsuki no Shippo,790,Manga,"15",Mar 2003 - Aug 2007,11034,https://myanimelist.net/manga/888/Tsuki_no_Shippo,https://cdn.myanimelist.net/r/100x140/images/manga/3/160615.jpg?s=953f00f98f28ebc2d60864184633547e,7.97,Mar 2003 - Aug 2007
1816,Murazukuri Game no NPC ga Namami no Ningen to shika Omoenai,5034,Novel,"3",Oct 2019 - Nov 2020,307,https://myanimelist.net/manga/134261/Murazukuri_Game_no_NPC_ga_Namami_no_Ningen_to_shika_Omoenai,https://cdn.myanimelist.net/r/100x140/images/manga/3/254168.jpg?s=7b61f67ef53e2a10224c2e73b7c7e9f3,7.27,Oct 2019 - Nov 2020
1817,Doll-Kara,14614,Manga,?,Apr 2017 -,3203,https://myanimelist.net/manga/111087/Doll-Kara,https://cdn.myanimelist.net/r/100x140/images/manga/2/206014.jpg?s=5da559e30e513ef4cd773cd1bdf33950,6.53,Apr 2017 - Dec 2023
1818,Ouji ka Prince,10687,Manga,"3",Jul 2011 - Jul 2012,2761,https://myanimelist.net/manga/26537/Ouji_ka_Prince,https://cdn.myanimelist.net/r/100x140/images/manga/1/172899.jpg?s=8a4e960b18e0321438f89520bfb2bdba,6.85,Jul 2011 - Jul 2012
1819,Kurogane,6000,Manga,"5",Nov 1993 - Aug 2001,3228,https://myanimelist.net/manga/1598/Kurogane,https://cdn.myanimelist.net/r/100x140/images/manga/1/197920.jpg?s=64218108bd19244a10db6a2ac9a505e4,7.18,Nov 1993 - Aug 2001
1820,Melancholia,1202,Manga,"2",Jan 2017 - Jan 2019,5325,https://myanimelist.net/manga/103803/Melancholia,https://cdn.myanimelist.net/r/100x140/images/manga/3/207886.jpg?s=a5e9c5ca5a86b2ecfe1e09d169915452,7.82,Jan 2017 - Jan 2019
1822,Uta∽Kata,15850,Manga,"1",Aug 2004 - Feb 2005,1049,https://myanimelist.net/manga/930/Uta∽Kata,https://cdn.myanimelist.net/r/100x140/images/manga/1/203960.jpg?s=b9ee5b1d6cef7aa8bc1d04053afc4b1f,6.38,Aug 2004 - Feb 2005
1823,Brand New School Day,7654,One-shot,?,Apr 2013 - Apr 2013,3861,https://myanimelist.net/manga/50601/Brand_New_School_Day,https://cdn.myanimelist.net/r/100x140/images/manga/1/89401.jpg?s=3de819620acb84bd6a18664d2f8cc7ac,7.06,Apr 2013 - Apr 2013
1824,Tonari no Seki ni Natta Bishoujo ga Horesaseyou to Karakattekuru ga Itsunomanika Kaeriuchi ni Shiteita,15149,Manga,"5",Apr 2020 - Sep 2022,5931,https://myanimelist.net/manga/126140/Tonari_no_Seki_ni_Natta_Bishoujo_ga_Horesaseyou_to_Karakattekuru_ga_Itsunomanika_Kaeriuchi_ni_Shiteita,https://cdn.myanimelist.net/r/100x140/images/manga/1/234808.jpg?s=b2f1648bcd1fc52f7811bb384533ab18,6.47,Apr 2020 - Sep 2022
